text_customer,text_apple
@AppleSupport The newest update. I️ made sure to download it yesterday.,@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT
@AppleSupport  https://t.co/NV0yucs0lB,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
@AppleSupport Tried resetting my settings .. restarting my phone .. all that,@115855 Let's go to DM for the next steps. DM us here: https://t.co/GDrqU22YpT
@AppleSupport This is what it looks like https://t.co/XCQU2l4xUB,@115855 Any steps tried since it started last night?
@AppleSupport I️ have an iPhone 7 Plus and yes I️ do,@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
@AppleSupport I️ need answers because it’s annoying 🙃,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT"
@AppleSupport This is what is happening... https://t.co/X3SZSJXfAT,@115857 We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there. https://t.co/GDrqU22YpT
@AppleSupport are the call centres closed for the night?,@115859 We've received your DM and will continue there.
@115858 @AppleSupport hello are all the lines closed for tonight #help,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT
@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT"
"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT"
@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.
@AppleSupport I have the iPhone 6s Plus and just did the most recent update.,"@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT"
Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?"
@AppleSupport iOS 11.0.3,"@115865 Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update."
@AppleSupport Okey. Thank you! 🤗,"@115865 Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help."
@AppleSupport iPhone 7 Plus 😊,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
@AppleSupport I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁@AppleSupport,@115865 Hi there! What type of device are we working with?
