text_customer,text_apple,core_ask,rough_bucket,dm_redirect,notes
@AppleSupport No tried that a few times... it’s an audiobook but it’s just frozen in the title page,"@149735 OK thanks for trying that. What version of the iOS software do you currently have installed on your device? You can find this in Settings &gt; General &gt; About. 

Please meet us in DM with this information and we will continue to work together. https://t.co/GDrqU22YpT",probably asking to solve the issue with audiobook,bug_report,Y,the customer has issues with audiobook being stuck on the first page
@AppleSupport I need help with something related to iTunes :) can you help?,@151821 We'd be happy to help. What's going on with iTunes? Which device are you using iTunes on?,just need help with iTunes,other_unclear,N,customer is asking help around iTunes
"@AppleSupport Team, I tried configuring “Hey Siri” on my iPhone 5s while it was connected to power. It still doesn’t recognise my voice when I call out “Hey Siri” during the setup. Please help.","@148935 Hey there, we understand you're having the same problem with Siri. We'd like to help you more with this. DM us and let us know what country you live in next. https://t.co/GDrqU22YpT",help regarding Siri setup,bug_report,Y,they asked for the country of the customer
@AppleSupport And i cant fix it i had to turn off auto correct and check spelling,@125900 Let's get this figured out. Which iOS is installed? Please DM us. https://t.co/GDrqU22YpT,"he isnt asking, he is stating an issue regarding some language issues",bug_report,Y,
@AppleSupport is it possible to get a 2011 MacBook Pro battery serviced in store?,@125602 Let's see what we can find out. Send us a DM with the country you're located in.,to get his macbook's battery serviced,hardware_issue,Y,asked for the country of customer
@AppleSupport iOS11.1 consumes battery pretty fast....,"@117645 Let's see how you're using your battery so we can provide the best solution. To start, DM us with the country where you're located. https://t.co/GDrqU22YpT",telling about the battery draining issue coz of an IOS version,battery_performance,Y,asked for the country of customer
@AppleSupport And are people trying to hack my account?,"@154492 While we can't know if someone is trying to hack your ID, if that message appears within our Settings app it's likely genuine. You can check the status of your account at https://t.co/ggVDoc1mU7 and Two-Factor Authentication can help protect your account.",whether someone is trying to hack his id,account_security,N,
@AppleSupport The second one. The battery life has incredibly decreased.,@162083 We're here to help. DM us the exact iOS version you are running to get started. Find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,pointing at an issue and complaining regarding the battery drainage issue,battery_performance,Y,
"@AppleSupport When someone calls me, the contact picture is small, not full screen like it used to be. iPhone 8, ios 11.1.2",@149697 Is this the same contact photo you used in the past when it appeared as a full size? Have you tried removing the contact picture and then re-adding it?,help regarding contact photo's size isnt same as before,bug_report,N,
"Can we get good quality charger cables? These are really sad and unexpected quality standards. what to do with this
@AppleSupport @115858 https://t.co/HyO8SjsrIz",@160234 We'd like to look in to your options with you. DM us about this cable and we'll continue there. https://t.co/GDrqU22YpT,to get good qualify of charging cables,hardware_issue,Y,
@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,resolve the issue of saved emails not being saved,update_installation,N,
"Depois que atualizei o aparelho para iOS 11 , ficou uma decepção @AppleSupport todas fica está faixa no teclado 😡. https://t.co/bOI5ygAfVO","@167172 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",resolve issue of bar appearing on keyboard after IOS 11 update,update_installation,N,
@AppleSupport my case is still open. More then 10 days. No solution is provided after several complaints,@149717 Meet us in DM and we'll point you in the right direction. https://t.co/GDrqU22YpT,to close his case ASAP,support_escalation,Y,
"@AppleSupport Thanks. Yep I checked that, but neither phone has the other listed as an alternative data source. It’s almost like it’s because they’re both linked to my iCloud account or something. Here’s an example from one of them, the one listed is the same device name. https://t.co/zKVWO3obZj",@138973 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,some issue regarding iCloud and data source,icloud_sync,Y,
@AppleSupport It’s showing it’s connected and the battery is decreasing.,@117641 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,the charging cable is connected and switched on still the battery is getting drained,battery_performance,Y,
