text_customer,text_apple,core_ask,rough_bucket,dm_redirect,notes
@AppleSupport No tried that a few times... it’s an audiobook but it’s just frozen in the title page,"@149735 OK thanks for trying that. What version of the iOS software do you currently have installed on your device? You can find this in Settings &gt; General &gt; About. 

Please meet us in DM with this information and we will continue to work together. https://t.co/GDrqU22YpT",probably asking to solve the issue with audiobook,software issue,Y,the customer has issues with audiobook being stuck on the first page
@AppleSupport I need help with something related to iTunes :) can you help?,@151821 We'd be happy to help. What's going on with iTunes? Which device are you using iTunes on?,just need help with iTunes,software inquiry,N,customer is asking help around iTunes
"@AppleSupport Team, I tried configuring “Hey Siri” on my iPhone 5s while it was connected to power. It still doesn’t recognise my voice when I call out “Hey Siri” during the setup. Please help.","@148935 Hey there, we understand you're having the same problem with Siri. We'd like to help you more with this. DM us and let us know what country you live in next. https://t.co/GDrqU22YpT",help regarding Siri setup,software issue,Y,they asked for the country of the customer
@AppleSupport And i cant fix it i had to turn off auto correct and check spelling,@125900 Let's get this figured out. Which iOS is installed? Please DM us. https://t.co/GDrqU22YpT,"he isnt asking, he is stating an issue regarding some language issues",software issue,Y,
@AppleSupport is it possible to get a 2011 MacBook Pro battery serviced in store?,@125602 Let's see what we can find out. Send us a DM with the country you're located in.,to get his macbook's battery serviced,hardware issue,Y,asked for the country of customer
@AppleSupport iOS11.1 consumes battery pretty fast....,"@117645 Let's see how you're using your battery so we can provide the best solution. To start, DM us with the country where you're located. https://t.co/GDrqU22YpT",telling about the battery draining issue coz of an IOS version,software issue,Y,asked for the country of customer
@AppleSupport And are people trying to hack my account?,"@154492 While we can't know if someone is trying to hack your ID, if that message appears within our Settings app it's likely genuine. You can check the status of your account at https://t.co/ggVDoc1mU7 and Two-Factor Authentication can help protect your account.",whether someone is trying to hack his id,software issue,N,
@AppleSupport The second one. The battery life has incredibly decreased.,@162083 We're here to help. DM us the exact iOS version you are running to get started. Find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,pointing at an issue and complaining regarding the battery drainage issue,software issue,Y,
"@AppleSupport When someone calls me, the contact picture is small, not full screen like it used to be. iPhone 8, ios 11.1.2",@149697 Is this the same contact photo you used in the past when it appeared as a full size? Have you tried removing the contact picture and then re-adding it?,help regarding contact photo's size isnt same as before,software issue,N,
"Can we get good quality charger cables? These are really sad and unexpected quality standards. what to do with this
@AppleSupport @115858 https://t.co/HyO8SjsrIz",@160234 We'd like to look in to your options with you. DM us about this cable and we'll continue there. https://t.co/GDrqU22YpT,to get good qualify of charging cables,hardware issue,Y,
@AppleSupport Updated iPad Pro to 11.1.  Worked on draft email. None of changes saved. Started new email. Saved but disappeared. Help please,@117107 We'll help in any way we can. Was this on an https://t.co/coj9FJKJWV email account?,resolve the issue of saved emails not being saved,software issue,N,
"Depois que atualizei o aparelho para iOS 11 , ficou uma decepção @AppleSupport todas fica está faixa no teclado 😡. https://t.co/bOI5ygAfVO","@167172 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",resolve issue of bar appearing on keyboard after IOS 11 update,software issue,N,
@AppleSupport my case is still open. More then 10 days. No solution is provided after several complaints,@149717 Meet us in DM and we'll point you in the right direction. https://t.co/GDrqU22YpT,to close his case ASAP,support delay,Y,
"@AppleSupport Thanks. Yep I checked that, but neither phone has the other listed as an alternative data source. It’s almost like it’s because they’re both linked to my iCloud account or something. Here’s an example from one of them, the one listed is the same device name. https://t.co/zKVWO3obZj",@138973 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,some issue regarding iCloud and data source,software issue,Y,
@AppleSupport It’s showing it’s connected and the battery is decreasing.,@117641 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,the charging cable is connected and switched on still the battery is getting drained,hardware issue,Y,
"@AppleSupport It will verify for a good few minutes and then come up saying update error, only got the iPad a few hours ago","@153199 Alright. Let's go ahead and try each of the steps in this article: https://t.co/4dqFR4gH4g

If the issue persists afterward, send us a DM using the link below. https://t.co/GDrqU22YpT",to solve the update error thats been showing,software issue,Y,
@115858 after the new apple updates: the battery life is really go fast and the WiFi is always on! @AppleSupport #newappleupdates,@117189 We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. https://t.co/GDrqU22YpT,he is replying to someone else's query,software issue,Y,
@AppleSupport Here we go! Any ideas? https://t.co/TnZTVZRH6w,@135633 We're glad you were able to partially resolve your issue. Let's continue via DM. Reach out using the link below and let us know if you've restared your Mac since making these changes. https://t.co/GDrqU22YpT,probably to solve an issue regarding Mac's settings being changed,software issue,Y,
@AppleSupport Thank you! I use the Gmail app for mail so is there a way to fetch for Gmail but not for the iPhone mail app?,@161508 Go ahead and send us a DM please. Let us know the country you're in. https://t.co/GDrqU22YpT,a way to fetch email(probably) from gmail instead of iphone mail app,software issue,Y,asked the country
@AppleSupport I think it keeps getting knocked off of the charger at night some how. When I put it on the charger this morning it was really low battery I will keep you updated on it. Thanks for the reply.,@156813 Great. Send us a DM if you are still having issues with it. https://t.co/GDrqU22YpT,the charger gets disconnected in the night when kept on charging,hardware issue,Y,
@AppleSupport  still haven't got IOS 11 to download on my 7plus device. Can you help? xXxXx,"@171698 Absolutely, we’d be happy to help! Are you trying to update through the settings on the iPhone or through iTunes on a computer?",,,,
"@AppleSupport iOS 11 bug. Bluetooth turn off, show pairing for earphones in public which not belong to me.",@161526 Thank you for reaching out to us about Bluetooth. Please send us a DM with which device you're using. https://t.co/GDrqU22YpT,,,,
"@AppleSupport Restarting the phone does not work. When my wife and I FaceTime and hit the home button for something, that’s when it triggers the problem. I asked her to hit the home button on her end so when she came back to FaceTime, it triggered it on her end as well","@143489 Got it, thanks! Recently we did release an update to iOS 11.1.2 that may help with this issue. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",,,,
@AppleSupport Latest iOS. Has always happened with the iPhone X,@137635 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,,,,
