text_customer,good_reply_criteria,generated_reply,human_verdict,human_criteria_met,human_criteria_total
@AppleSupport I talked to customer service they said they’d refund me got off phone they didn’t,"apologize for the gap, gather details of the prior conversation (date/agent), confirm refund status and follow up directly",@AppleSupport Thanks for letting us know. Could you DM us with the date and details of your call so we can look into this further?,FAIL,1,3
@AppleSupport i want to update my payment method but it keeps saying the date cant be in the past when its well in the future.,"confirm the exact date format entered, refer to the iTunes billing team for deeper investigation",@150600 Thanks for reaching out! We’d love to help. Please continue the conversation via DM so we can look into this for you.,FAIL,0,2
@124176 @AppleSupport Following this too bc it’s been happening to me!!,ask them to describe their own specific symptoms and device/iOS details rather than assuming it matches another thread,@124176 We're here to help! Please DM us with details about your device and iOS version so we can investigate.,FAIL,1,2
Very disappointed with service from Apple still my watch is malfunctioning!! Totally disappointed case ID 100311121916 @AppleSupport @115858,"reference the case ID directly, ask what update is needed, prioritize timely follow-up",We’re sorry you’re still having trouble. Please DM us with your case ID so we can look into this further.,FAIL,0,3
"@AppleSupport literally had these for 1 month and already one of the ears broke, just out of no where... replacement? https://t.co/7wFrBepTQA","confirm warranty status, gather country/purchase info, direct to repair/replacement options",@220771 Thanks for reaching out. Let’s explore repair options in DM—please send us a message with your location and we’ll follow up there.,FAIL,2,3
@AppleSupport I have upgraded my Iphone IOS 11.2 and all photos are gone! Is possible to retrieve it in the Icloud?,"check iCloud Photos toggle/account status before referring, refer to Photos team, reassure about backup options",We’re sorry to hear that! Let’s look into restoring your photos. Please continue the conversation via DM so we can help you further.,FAIL,0,3
NEW UPDATE GOT MY PHONE TWITCHING!!!! EXPLAIN @AppleSupport @115858,"ask for a specific description of the 'twitching' (screen glitch, vibration, restart), gather device/iOS version",@213794 Thanks for reaching out. Can you describe what you mean by “twitching” so we can help you troubleshoot?,FAIL,1,2
@AppleSupport @AppleSupport do you need to enter a password to factory reset an iPad?,"confirm password requirement, link recovery steps if the password is unknown","@212457 The iPad must be unlocked to restore. If you don’t have the password, please continue the conversation in DM.",FAIL,1,2
@AppleSupport Can I use the lightning digital av adapter &amp; lightning to usb 3 adapter in series? Ie. hdmi out to a monitor and usb keyboard,"confirm supported adapter chaining/compatibility, note any bandwidth or resolution limitations",@165456 Please DM us so we can look into this together.,FAIL,0,2
@AppleSupport it's ok. i called in. all set.,n/a — acknowledge the resolution,"Great! If we can help in the future, please reach out to us.",PASS,1,1
@AppleSupport Why can’t I download nothing from the apple store it keep on saying that I need to fix my Billing info and I did a lot of times. https://t.co/y95oOj5l94,"acknowledge the repeated attempts, ask what specific error appears, verify billing-info format, offer DM/billing-team escalation",@223015 We’re sorry you’re seeing that message. Please send us a DM and we’ll help get your billing info sorted so you can download again.,FAIL,1,4
@AppleSupport iOS 11.0.2 is installed and iPhone 6 Plus,continue diagnosing the original issue in DM using the device/iOS details now provided,"@196833 Let's have a closer look, please DM us.",FAIL,0,1
@AppleSupport I made a mistake and would hopefully like to get it corrected and refunded if possible! Please help,"ask what the mistake/purchase was, gather order details via DM, explain the refund process",@[user] We'd be happy to look into this with you. Please DM us with more details and we'll get started.,FAIL,1,3
"@AppleSupport You know this, the latest software update has damaged many phones. My phone's touchscreen freezes up now.","acknowledge the report, avoid confirming or denying a 'widespread' claim, gather device/iOS specifics via DM",@193260 Thanks for letting us know. Please DM us with your device model and iOS version so we can help.,PASS,3,3
"Hey @115858 @AppleSupport I've been a loyal Apple supporter, but you make me sad by not providing quality with the new iPhone 8 and the customer care is even worse. about that where is my 💰 money, you see I returned your product but you havent returned my money! thats not fair","acknowledge the frustration, gather order/return details, confirm the refund timeline via DM",@115858 We’re sorry for the inconvenience. Please DM us with your order details so we can look into your refund.,FAIL,2,3
"@AppleSupport it has, but not for some time now. i’ve tried with two different apple ids but it’s still not showing up on my phone","acknowledge steps already taken, gather account/device specifics, escalate to DM for deeper diagnosis",@yourhandle Thanks for clarifying. Let’s continue in DM so we can look into this further.,FAIL,2,3
"@AppleSupport  fix my phone, just bc y’all got a new phone out doesn’t mean everyone’s 7+ needs to freeze constantly and shit.","stay calm, ask if freezing is tied to specific apps, gather iOS version, offer DM",We want you to enjoy using your iPhone. Can you let us know which iOS version it’s running? Let’s continue in DM.,FAIL,3,4
@AppleSupport is it possible to change the sound effect on #AppleWatch for when I get a text message?,"confirm sound customization isn't available, link to adjusting notification settings instead","@188021 While you can’t change the sound, you can adjust the notification settings for messages. Let us know if that helps.",PASS,2,2
"@AppleSupport Yes, i am on 11.0.2. But keyboard is lag since iOS 11","ask device model, check if lag is app-specific, offer standard troubleshooting",@116624 What device are you using with iOS 11.0.2? Let’s continue in DM.,FAIL,1,3
@115858 @116333 @AppleSupport explain... https://t.co/8XYZbUBkOk,"ask what's shown in the image and what's not working, gather device/iOS info",@115858 We'd like to look into this with you. DM us more information and we'll meet you there.,FAIL,0,2
@AppleSupport It started in may. 11.1.2,"apply the article's suggested steps, follow up on carrier/country if unresolved",@142515 Thanks for the details. Please DM us with your country and carrier so we can investigate further.,FAIL,1,2
"@AppleSupport not sure if you can help, I had a pre-order on iTunes that released today got the email etc but nothing had downloaded and not available on my phone, looks like I still have to pay?","confirm charge status, verify the pre-order shows in purchase history, refer to the iTunes Store team",@230645 Sorry to hear that! Please DM us with your Apple ID and device details so we can investigate the pre‑order and get it sorted.,FAIL,0,3
@AppleSupport I upgraded my iPhone from a 6 to an 8 and everything transferred over except my pictures.,"confirm iCloud Photo Library is enabled/signed in, ask which transfer method was used","@210105 Let’s get those photos back. Are you signed into iCloud Photo Library on the new iPhone? If not, try signing in and enabling it. DM us if you need more help.",FAIL,1,2
"PT1. @AppleSupport I pre-approved my iPhone X then ordered it at 301 am, your database is shipping the phone to a fake address due to a typo","acknowledge the urgency, refer to the Online Store team, note next steps to intercept/correct the shipment",@124681 Thanks for reaching out. Please DM us with your order details so we can correct the address.,FAIL,1,3
@AppleSupport ...in your system to be able to use my old icloud?,"ask for the full context of what they're trying to access, confirm which iCloud account is involved",@AppleSupport We can help you access your old iCloud. Try adding a trusted device or resetting your password. Let us know if you need any further assistance.,FAIL,0,2
@AppleSupport Does anyone know how to fix this I can’t get to an Apple store until tomorrow :(,"confirm the exact behavior (freeze/restart/shutdown), point to the iOS 11.2 update as the likely fix","@248685 We’ve got you covered. Can you tell us what’s happening—freezing, restarting, shutting off, or something else? Let’s troubleshoot together.",FAIL,1,2
"@AppleSupport looks like am not only one having this issue! Stuck on verifying update, brand new phone today! Followed troubleshoot guide? https://t.co/WjTc4yDn8i","confirm restart attempted, ask about Wi-Fi/storage space, offer DM to continue","@152740 We’re on it! Try a quick restart and see if that clears the verify step. If it’s still stuck, DM us for more help.",FAIL,2,3
"@195269 @AppleSupport After download 11.0.2, battery drain like mad for 4-mths old iPhone 7+ even with little usage, no video or music.","ask charge frequency, gather iOS version/model, offer DM diagnostics",@195269 We’re sorry you’re seeing that drain. Please DM us so we can help troubleshoot your iPhone 7 Plus battery.,FAIL,1,3
@AppleSupport Yes. And both.,"refer to the prior thread's details, ask a clarifying follow-up rather than assuming context",@AppleSupport Send us a DM and we'll take a closer look at this.,FAIL,0,2
"@AppleSupport Why should I send a DM? My apps freeze up, my battery drains too fast and when I delete emails and reopen my inbox they have returned","address their DM concern directly, explain why DM is needed for account-specific troubleshooting, then address each issue",@180966 We’d like to continue helping you in DM. Please reach out there when you’re ready.,FAIL,0,3
